KEYID,SECTOR,NSTR,TARA,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,XFILES,ANUL
38978493,F9100,060,,31067925,,612105,-268968,30186852,30186852,30186852,30186852,,2018
38978493,F9100,010,,0,,0,0,0,0,0,0,,2018
40980623,F9100,090,,0,141909,,,141909,141909,141909,141909,,2018
40980623,F9100,090,804,0,141909,,,141909,141909,141909,141909,,2018
40980623,F9100,080,,0,,,,0,0,0,0,,2018
40980623,F9100,080,804,,,,,0,0,0,0,,2018
40980623,F9100,060,,0,141909,,,141909,141909,141909,141909,,2018
40980623,F9100,010,,0,0,,,0,0,0,0,,2018
40016301,F9100,080,,0,0,0,0,0,0,0,0,,2018
40016301,F9100,060,,0,0,0,0,0,0,0,0,,2018
40016301,F9100,010,,0,0,0,0,0,0,0,0,,2018
40066670,F9100,090,,0,0,0,0,0,0,0,0,,2018
40066670,F9100,080,,0,0,0,0,0,0,0,0,,2018
40066670,F9100,060,,0,0,0,0,0,0,0,0,,2018
40066670,F9100,010,,0,0,0,0,0,0,0,0,,2018
40403203,F9100,090,,47359901,109792,138637,0,47331056,47331056,47331056,47331056,,2018
40403203,F9100,090,196,47359901,109792,138637,,47331056,47331056,47331056,47331056,,2018
40403203,F9100,060,,47359901,109792,138637,0,47331056,47331056,47331056,47331056,,2018
40403203,F9100,010,,0,0,0,0,0,0,0,0,,2018
1398418,F9100,090,,26334308,,,205436,26539744,26539744,26539744,26539744,,2018
1398418,F9100,090,092,26334308,,,205436,26539744,26539744,26539744,26539744,,2018
1398418,F9100,060,,26334308,,,205436,26539744,26539744,26539744,26539744,,2018
1398418,F9100,010,,0,,,0,0,0,0,0,,2018
1129894,F9100,060,,0,0,0,0,0,0,0,0,,2018
1129894,F9100,050,,0,,,0,0,0,0,0,,2018
1129894,F9100,040,,0,,0,0,0,0,0,0,,2018
1129894,F9100,030,,0,,,0,0,0,0,0,,2018
1129894,F9100,020,,0,0,0,0,0,0,0,0,,2018
1129894,F9100,010,,0,0,0,0,0,0,0,0,,2018
41278948,F9100,100,,,794,,,794,794,794,794,,2018
41278948,F9100,100,196,,794,,,794,794,794,794,,2018
41278948,F9100,090,,,342000,,-1088,340912,340912,340912,340912,,2018
41278948,F9100,090,196,,342000,,-1088,340912,340912,340912,340912,,2018
41278948,F9100,080,,,0,,,0,0,0,0,,2018
41278948,F9100,080,196,,,,,0,0,0,0,,2018
41278948,F9100,060,,,342794,,-1088,341706,341706,341706,341706,,2018
41278948,F9100,010,,,0,,0,0,0,0,0,,2018
40066032,F9100,090,,3343893,46586,1602636,-45266,1742577,1742577,1742577,1742577,,2018
40066032,F9100,090,528,3343893,46586,1602636,-45266,1742577,1742577,1742577,1742577,,2018
40066032,F9100,060,,3343893,46586,1602636,-45266,1742577,1742577,1742577,1742577,,2018
40066032,F9100,010,,0,0,0,0,0,0,0,0,,2018
41277848,F9100,090,,,195350,,744,196094,196094,196094,196094,,2018
41277848,F9100,090,276,,195350,,744,196094,196094,196094,196094,,2018
41277848,F9100,070,,,0,,0,0,0,0,0,,2018
41277848,F9100,070,276,,,,,0,0,0,0,,2018
41277848,F9100,060,,,195350,,744,196094,196094,196094,196094,,2018
41277848,F9100,010,,,0,,0,0,0,0,0,,2018
40793140,F9100,100,,0,,,,0,0,0,0,,2018
40793140,F9100,090,,0,0,0,0,0,0,0,0,,2018
40793140,F9100,060,,0,0,0,0,0,0,0,0,,2018
40793140,F9100,050,,0,,,,0,0,0,0,,2018
40793140,F9100,010,,0,0,0,0,0,0,0,0,,2018
38149621,F9100,080,,0,0,0,0,0,0,0,0,,2018
38149621,F9100,070,,0,0,0,0,0,0,0,0,,2018
38149621,F9100,060,,0,0,0,0,0,0,0,0,,2018
38149621,F9100,030,,0,0,0,0,0,0,0,0,,2018
38149621,F9100,020,,0,0,0,0,0,0,0,0,,2018
38149621,F9100,010,,0,0,0,0,0,0,0,0,,2018
41238239,F9100,060,,0,0,0,0,0,0,0,0,,2018
41238239,F9100,020,,0,0,0,0,0,0,0,0,,2018
41238239,F9100,010,,0,0,0,0,0,0,0,0,,2018
40602223,F9100,060,,0,0,0,0,0,0,0,0,,2018
40602223,F9100,020,,0,0,0,0,0,0,0,0,,2018
40602223,F9100,010,,0,0,0,0,0,0,0,0,,2018
40806150,F9100,090,,4724892,,,-205734,4519158,4519158,4519158,4519158,,2018
40806150,F9100,090,528,4724892,,,-205734,4519158,4519158,4519158,4519158,,2018
40806150,F9100,060,,4724892,,,-205734,4519158,4519158,4519158,4519158,,2018
40806150,F9100,010,,0,,,0,0,0,0,0,,2018
40229853,F9100,090,,326558,,,-14219,312339,312339,312339,312339,,2018
40229853,F9100,090,826,326558,,,-14219,312339,312339,312339,312339,,2018
40229853,F9100,060,,326558,,,-14219,312339,312339,312339,312339,,2018
40229853,F9100,010,,0,,,0,0,0,0,0,,2018
40670012,F9100,060,,0,0,0,0,0,0,0,0,,2018
40670012,F9100,020,,0,0,0,0,0,0,0,0,,2018
40670012,F9100,010,,0,0,0,0,0,0,0,0,,2018
40470230,F9100,090,,2632877,,,-198247,2434630,2434630,2434630,2434630,,2018
40470230,F9100,090,642,2632877,,,-198247,2434630,2434630,2434630,2434630,,2018
40470230,F9100,060,,2632877,,,-198247,2434630,2434630,2434630,2434630,,2018
40470230,F9100,010,,0,,,0,0,0,0,0,,2018
40883802,F9100,090,,,2060420,,,2060420,2060420,2060420,2060420,,2018
40883802,F9100,090,826,,2060420,,,2060420,2060420,2060420,2060420,,2018
40883802,F9100,060,,,2060420,,,2060420,2060420,2060420,2060420,,2018
40883802,F9100,010,,,0,,,0,0,0,0,,2018
37716972,F9100,080,,0,0,0,0,0,0,0,0,,2018
37716972,F9100,070,,0,0,0,0,0,0,0,0,,2018
37716972,F9100,070,642,,,,,0,0,0,0,,2018
37716972,F9100,060,,0,0,0,0,0,0,0,0,,2018
37716972,F9100,030,,0,0,0,0,0,0,0,0,,2018
37716972,F9100,020,,0,0,0,0,0,0,0,0,,2018
37716972,F9100,020,642,,,,,0,0,0,0,,2018
37716972,F9100,010,,0,0,0,0,0,0,0,0,,2018
37544120,F9100,070,,0,0,0,0,0,0,0,0,,2018
37544120,F9100,060,,0,0,0,0,0,0,0,0,,2018
37544120,F9100,030,,0,0,0,0,0,0,0,0,,2018
37544120,F9100,020,,0,0,0,0,0,0,0,0,,2018
37544120,F9100,010,,0,0,0,0,0,0,0,0,,2018
41063018,F9100,010,,0,0,0,0,0,0,0,0,,2018
40614735,F9100,070,,252098,41225,,,293323,293323,293323,293323,,2018
40614735,F9100,070,642,252098,41225,,,293323,293323,293323,293323,,2018
40614735,F9100,060,,252098,41225,,,293323,293323,293323,293323,,2018
40614735,F9100,010,,0,0,,,0,0,0,0,,2018
41219466,F9100,090,,,40314200,,-1271800,39042400,39042400,39042400,39042400,,2018
41219466,F9100,090,792,,40314200,,-1271800,39042400,39042400,39042400,39042400,,2018
41219466,F9100,060,,,40314200,,-1271800,39042400,39042400,39042400,39042400,,2018
41219466,F9100,040,,,0,,0,0,0,0,0,,2018
41219466,F9100,040,792,,,,,0,0,0,0,,2018
41219466,F9100,010,,,0,,0,0,0,0,0,,2018
40650742,F9100,060,,0,0,0,0,0,0,0,0,,2018
40650742,F9100,040,,0,0,0,0,0,0,0,0,,2018
40650742,F9100,010,,0,0,0,0,0,0,0,0,,2018
40233725,F9100,090,,0,0,0,0,0,0,0,0,,2018
40233725,F9100,060,,0,0,0,0,0,0,0,0,,2018
40233725,F9100,020,,0,0,0,0,0,0,0,0,,2018
40233725,F9100,010,,0,0,0,0,0,0,0,0,,2018
40651859,F9100,100,,1659,5911981,5913633,,7,7,7,7,,2018
40651859,F9100,100,276,1659,5911981,5913633,,7,7,7,7,,2018
40651859,F9100,060,,1659,5911981,5913633,,7,7,7,7,,2018
40651859,F9100,010,,0,0,0,,0,0,0,0,,2018
40553358,F9100,090,,676450,,,-29454,646996,646996,646996,646996,,2018
40553358,F9100,090,376,676450,,,-29454,646996,646996,646996,646996,,2018
40553358,F9100,060,,676450,,,-29454,646996,646996,646996,646996,,2018
40553358,F9100,010,,0,,,0,0,0,0,0,,2018
40035445,F9100,060,,0,0,0,0,0,0,0,0,,2018
40035445,F9100,030,,0,0,0,0,0,0,0,0,,2018
40035445,F9100,020,,0,0,0,0,0,0,0,0,,2018
40035445,F9100,010,,0,0,0,0,0,0,0,0,,2018
40650860,F9100,070,,0,0,0,0,0,0,0,0,,2018
40650860,F9100,060,,0,0,0,0,0,0,0,0,,2018
40650860,F9100,010,,0,0,0,0,0,0,0,0,,2018
41018437,F9100,060,,0,0,0,0,0,0,0,0,,2018
41018437,F9100,020,,0,0,0,0,0,0,0,0,,2018
41018437,F9100,010,,0,0,0,0,0,0,0,0,,2018
40752709,F9100,090,,8898716,,,-387473,8511243,8511243,8511243,8511243,,2018
40752709,F9100,090,196,8898716,,,-387473,8511243,8511243,8511243,8511243,,2018
40752709,F9100,060,,8898716,,,-387473,8511243,8511243,8511243,8511243,,2018
40752709,F9100,010,,0,,,0,0,0,0,0,,2018
38643893,F9100,060,,0,0,0,0,0,0,0,0,,2018
38643893,F9100,020,,0,0,0,0,0,0,0,0,,2018
38643893,F9100,010,,0,0,0,0,0,0,0,0,,2018
40378027,F9100,070,,0,0,0,0,0,0,0,0,,2018
40378027,F9100,060,,0,0,0,0,0,0,0,0,,2018
40378027,F9100,030,,0,0,0,0,0,0,0,0,,2018
40378027,F9100,020,,0,0,0,0,0,0,0,0,,2018
40378027,F9100,010,,0,0,0,0,0,0,0,0,,2018
38668806,F9100,060,,0,0,0,0,0,0,0,0,,2018
38668806,F9100,030,,0,0,0,0,0,0,0,0,,2018
38668806,F9100,010,,0,0,0,0,0,0,0,0,,2018
41252305,F9100,090,,,3405669,,,3405669,3405669,3405669,3405669,,2018
41252305,F9100,090,616,,3405669,,,3405669,3405669,3405669,3405669,,2018
41252305,F9100,060,,,3405669,,,3405669,3405669,3405669,3405669,,2018
41252305,F9100,010,,,0,,,0,0,0,0,,2018
38179898,F9100,070,,0,0,0,0,0,0,0,0,,2018
38179898,F9100,060,,0,0,0,0,0,0,0,0,,2018
38179898,F9100,010,,0,0,0,0,0,0,0,0,,2018
40988926,F9100,090,,,0,0,,0,0,0,0,,2018
40988926,F9100,090,792,,,,,0,0,0,0,,2018
40988926,F9100,060,,,0,0,,0,0,0,0,,2018
40988926,F9100,010,,,0,0,,0,0,0,0,,2018
40109899,F9100,090,,,0,,,0,0,0,0,,2018
