KEYID,SECTOR,NSTR,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,XFILES,ANUL
23515,F7000,500,328883,,,365300,,694183,114444,,,2018
23515,F7000,520,328883,,,,,328883,114444,,,2018
23515,F7000,530,,,,365300,,365300,,,,2018
36825,F7000,400,525100,,,,,525100,,,,2018
36825,F7000,500,4520905,1663651,,242135,1663651,3099389,396827,,,2018
36825,F7000,530,909702,672694,,242135,672694,479143,177315,,,2018
36825,F7000,531,8540,854,,,854,7686,854,,,2018
36825,F7000,540,680000,30556,,,30556,649444,56667,,,2018
36825,F7000,590,2931203,960401,,,960401,1970802,162845,,,2018
47958,F7000,300,1205334,,,56133,,1261467,,,,2018
47958,F7000,400,43962,,,,,43962,,,,2018
47958,F7000,500,421848,135785,,1158938,,1580786,298403,,,2018
47958,F7000,530,421848,135785,,1158938,,1580786,298403,,,2018
54591,F7000,500,251152,17558,,,251152,,,,,2018
54591,F7000,520,251152,17558,,,251152,,,,,2018
65063,F7000,200,172738,36474,,2071121,,2243859,292361,,,2018
65063,F7000,230,172738,36474,,2071121,,2243859,292361,,,2018
65063,F7000,500,4200775,1610551,,1240859,,5441634,2475899,,,2018
65063,F7000,530,2808178,1197923,,1240859,,4049037,1863277,,,2018
65063,F7000,531,1576224,761477,,816861,,2393085,1215707,,,2018
65063,F7000,540,1392597,412628,,,,1392597,612622,,,2018
77020,F7000,200,6000,900,,,,6000,2100,,,2018
77020,F7000,230,6000,900,,,,6000,2100,,,2018
77020,F7000,500,70290,13169,,21499,,91789,33618,,,2018
77020,F7000,590,70290,13169,,21499,,91789,33618,,,2018
102580,F7000,400,69869,,,,,69869,,,,2018
102580,F7000,500,766625,432168,,1945751,,2712376,527396,,,2018
102580,F7000,530,766625,432168,,1945751,,2712376,527396,,,2018
102640,F7000,500,4903467,1711077,,368000,,5271467,2348490,,,2018
102640,F7000,530,4893412,1704780,,368000,,5261412,2340279,,,2018
102640,F7000,531,9983,7429,,,,9983,9983,,,2018
102640,F7000,540,10055,6297,,,,10055,8211,,,2018
104389,F7000,300,738163,,,194245,,932408,17761,,,2018
104389,F7000,500,378580,89029,,,,378580,151873,,,2018
104389,F7000,530,378580,89029,,,,378580,151873,,,2018
115163,F7000,200,279378,275990,,,,279378,277126,,,2018
115163,F7000,210,4421,1769,,,,4421,2211,,,2018
115163,F7000,220,5250,4958,,,,5250,5208,,,2018
115163,F7000,230,269707,269263,,,,269707,269707,,,2018
115163,F7000,500,2082682,1047897,,408662,,2491344,1176404,,,2018
115163,F7000,530,1408222,909519,,80766,,1488988,924341,,,2018
115163,F7000,540,671946,135864,,5820,,677766,244055,,,2018
115163,F7000,550,2514,2514,,,,2514,2514,,,2018
115163,F7000,560,,,,322076,,322076,5494,,,2018
135036,F7000,100,,,,2173911,1695911,478000,,,,2018
135036,F7000,200,65872903,61486518,,1695911,,67568814,63173112,,,2018
135036,F7000,230,65872903,61486518,,1695911,,67568814,63173112,,,2018
135036,F7000,300,16753625,,,356197130,353304499,19646256,,,,2018
135036,F7000,400,3943576,,,,,3943576,,,,2018
135036,F7000,500,7031753472,3891525058,,342311680,53297308,7320767844,3989700807,,,2018
135036,F7000,510,907427015,537519791,,5387290,418607,912395698,550365690,,,2018
135036,F7000,530,6043956772,3299147981,,329293112,52676661,6320573223,3378392400,,,2018
135036,F7000,531,37809998,29802404,,5673069,917215,42565852,3231713,,,2018
135036,F7000,540,42073636,23882594,,4895639,28365,46940910,27724967,,,2018
135036,F7000,590,38296049,30974692,,2735639,173675,40858013,33217750,,,2018
135071,F7000,200,39213,34064,,,32683,6530,2568,,,2018
135071,F7000,220,9780,5449,,,3250,6530,2568,,,2018
135071,F7000,230,29433,28614,,,29433,,,,,2018
135071,F7000,300,4546185,,,166879765,52210618,119215332,,,,2018
135071,F7000,400,56213581,,,,1566126,54647455,,,,2018
135071,F7000,500,946429913,551593845,,49728435,4858211,991300137,579776324,,,2018
135071,F7000,510,122060842,51180041,,616912,,122677754,53557740,,,2018
135071,F7000,520,87518836,40335179,,513712,,88032548,43230129,,,2018
135071,F7000,530,637339258,408195901,,46763038,80487,684021809,431445187,,,2018
135071,F7000,531,1189780,1079031,,26487,80487,1135780,1012957,,,2018
135071,F7000,540,1618055,1617183,,,,1618055,1617183,,,2018
135071,F7000,550,1241488,1153186,,68699,1542,1308645,1189927,,,2018
135071,F7000,580,84972435,40266040,,237234,4768494,80441175,38717764,,,2018
135071,F7000,590,11678999,8846315,,1528840,7688,13200151,10018394,,,2018
135094,F7000,100,7266035,,,8278602,3633413,11911224,,,,2018
135094,F7000,200,7616069,4750801,,3633413,508382,10741100,5742582,,,2018
135094,F7000,220,1638885,469263,,73400,88038,1624247,663576,,,2018
135094,F7000,230,5008790,3624271,,3560013,84400,8484403,4638394,,,2018
135094,F7000,300,10375181,,,288732784,294116420,4991545,,,,2018
135094,F7000,400,28598,,,,,28598,,,,2018
135094,F7000,500,3767062746,2144930036,,204353825,39649172,3931767399,2333178360,,,2018
135094,F7000,510,530733585,161579997,,5305005,61279,535977311,257561045,,,2018
135094,F7000,520,4615405,2810365,,74366,,4689771,2972291,,,2018
135094,F7000,530,3119169441,1918280025,,194208849,33150134,3280228156,1999879152,,,2018
135094,F7000,531,16434104,12392729,,4309650,107826,20635928,13872728,,,2018
135094,F7000,540,101167945,53631784,,4649254,6329800,99487399,63626428,,,2018
135094,F7000,550,11143735,8396926,,116351,102123,11157963,8912645,,,2018
135094,F7000,590,232635,230939,,,5836,226799,226799,,,2018
135160,F7000,200,209579,160393,,39132,,248711,209580,,,2018
135160,F7000,210,205354,156168,,39132,,244486,205355,,,2018
135160,F7000,220,4225,4225,,,,4225,4225,,,2018
135160,F7000,500,24242336,20007780,,476945,,24719281,21283224,,,2018
135160,F7000,510,2203223,940706,,0,,2203223,994099,,,2018
135160,F7000,520,648677,374381,,18696,,667373,422009,,,2018
135160,F7000,530,5584244,5305030,,28307,,5612551,5587606,,,2018
135160,F7000,531,75220,75220,,,,75220,75220,,,2018
135160,F7000,540,15646165,13235208,,427017,,16073182,14127828,,,2018
135160,F7000,550,160027,152455,,2925,,162952,151682,,,2018
204346,F7000,200,3250,1625,,,,3250,2275,,,2018
204346,F7000,220,3250,1625,,,,3250,2275,,,2018
204346,F7000,300,,,,107000,,107000,,,,2018
204346,F7000,400,31233640,,,,4333104,26900536,,,,2018
204346,F7000,500,73391710,70290301,,166917,2705236,70853391,50487715,,,2018
204346,F7000,510,27043581,26543295,,,1062269,25981312,7753236,,,2018
204346,F7000,520,6291293,4584286,,100000,,6391293,4584285,,,2018
204346,F7000,530,39377951,38543425,,58282,1357347,38078886,37819599,,,2018
204346,F7000,540,340166,340166,,,238500,101666,71166,,,2018
204346,F7000,590,338719,279129,,8635,47120,300234,259429,,,2018
207926,F7000,400,2905121,,,,,2905121,,,,2018
207926,F7000,500,1205313,,,,35548,1169765,,,,2018
207926,F7000,510,1205313,,,,35548,1169765,,,,2018
213003,F7000,500,28147438,9374213,,,,28147438,9378533,,,2018
213003,F7000,510,24571885,5926073,,,,24571885,5930393,,,2018
213003,F7000,520,3371673,3368562,,,,3371673,3368562,,,2018
213003,F7000,530,203880,79578,,,,203880,79578,,,2018
213032,F7000,300,3000,,,,,3000,,,,2018
213032,F7000,500,20013492,11833520,,,,20013492,11851070,,,2018
213032,F7000,510,18153947,10654210,,,,18153947,10654210,,,2018
213032,F7000,520,1559827,938965,,,,1559827,956515,,,2018
213032,F7000,530,294426,235053,,,,294426,235053,,,2018
213032,F7000,531,5168,5039,,,,5168,5039,,,2018
213032,F7000,590,5292,5292,,,,5292,5292,,,2018
213055,F7000,200,47622,34373,,,,47622,36336,,,2018
213055,F7000,220,3900,2676,,,,3900,3326,,,2018
213055,F7000,230,43722,31697,,,,43722,33010,,,2018
213055,F7000,400,89261,,,,,89261,,,,2018
213055,F7000,500,108243348,6218253,,258283,887915,107613716,7037726,,,2018
213055,F7000,510,105535031,4649175,,258283,,105793314,5567109,,,2018
213055,F7000,520,59459,20895,,,,59459,21320,,,2018
213055,F7000,530,2045018,999626,,,775309,1269709,985416,,,2018
213055,F7000,540,414697,371013,,,,414697,408619,,,2018
213055,F7000,590,189143,177544,,,112606,76537,55262,,,2018
213084,F7000,200,3250,1049,,5198,,8448,1862,,,2018
213084,F7000,220,3250,1049,,5198,,8448,1862,,,2018
213084,F7000,300,587568,,,134860,,722428,,,,2018
213084,F7000,400,86523,,,,,86523,,,,2018
213084,F7000,500,7814462,6535208,,,38376,7776086,6580597,,,2018
213084,F7000,510,4251836,3157649,,,,4251836,3204123,,,2018
213084,F7000,520,383237,350579,,,,383237,342600,,,2018
213084,F7000,530,2776607,2709441,,,38376,2738231,2701561,,,2018
213084,F7000,531,23085,23085,,,,23085,23085,,,2018
213084,F7000,540,331232,253793,,,,331232,265270,,,2018
213084,F7000,590,71550,63746,,,,71550,67043,,,2018
213084,F7000,700,3261418,1659353,,,,3261418,1730394,,,2018
219017,F7000,200,256660,193066,,,,256660,234794,,,2018
219017,F7000,300,282858,,,,,282858,,,,2018
219017,F7000,400,2867028,,,,,2867028,,,,2018
219017,F7000,500,29391884,26616690,,12222148,35950,41578082,26827713,,,2018
219017,F7000,510,15252370,13303502,,12222148,,27474518,13460943,,,2018
219017,F7000,520,3492774,3446072,,,,3492774,3453723,,,2018
219017,F7000,530,10375597,9602645,,,35950,10339647,9645895,,,2018
219017,F7000,540,158930,158930,,,,158930,158930,,,2018
219017,F7000,590,112213,105541,,,,112213,108222,,,2018
227548,F7000,100,,,,4000,4000,,,,,2018
227548,F7000,200,136127,129288,,4000,,140127,132349,,,2018
227548,F7000,210,2828,989,,,,2828,1273,,,2018
227548,F7000,230,133299,128299,,4000,,137299,131076,,,2018
227548,F7000,300,500000,,,,500000,,,,,2018
227548,F7000,500,24971168,15857563,,500000,,25471168,16275619,,,2018
227548,F7000,510,17660168,8687094,,,,17660168,8917367,,,2018
227548,F7000,520,3235958,3118285,,,,3235958,3204962,,,2018
227548,F7000,530,3953265,3940786,,500000,,4453265,4036662,,,2018
227548,F7000,540,48144,48144,,,,48144,48144,,,2018
227548,F7000,590,73633,63254,,,,73633,68484,,,2018
229694,F7000,200,16927,14540,0,5632,5801,16758,10925,0,,2018
229694,F7000,210,6126,4469,,,519,5607,5029,,,2018
229694,F7000,220,3575,2854,,3250,3575,3250,325,,,2018
229694,F7000,230,5000,5000,,,,5000,5000,,,2018
229694,F7000,300,,,,946069,946069,,,,,2018
229694,F7000,500,18009801,12368173,0,986604,15300,18981105,12749292,0,,2018
229694,F7000,510,8023101,3164683,,37211,,8060312,3359769,,,2018
229694,F7000,530,9954767,9181086,,949393,15300,10888860,9363187,,,2018
229694,F7000,531,256285,218814,,20125,,276410,232039,,,2018
229694,F7000,590,31933,22404,,,,31933,26336,,,2018
236263,F7000,200,71404,33610,,,,71404,55207,,,2018
236263,F7000,230,71404,33610,,,,71404,55207,,,2018
236263,F7000,300,53722,,,,,53722,,,,2018
236263,F7000,500,42232625,25879070,,12676953,694467,54215111,25954548,,,2018
236263,F7000,510,11163523,3805996,,585409,,11748932,3918990,,,2018
236263,F7000,520,10716785,5945368,,9171638,,19888423,6119517,,,2018
236263,F7000,530,17746267,14402777,,2909811,27800,20628278,14666049,,,2018
236263,F7000,531,106114,105717,,,,106114,105717,,,2018
236263,F7000,540,2606050,1724929,,10095,666667,1949478,1249992,,,2018
236263,F7000,700,157717137,131872358,,,20567640,137149497,115524786,,,2018
237759,F7000,300,389629,,,139086,,528715,,,,2018
237759,F7000,500,7014965,4358568,,,,7014965,4463187,,,2018
237759,F7000,510,4554869,2309095,,,,4554869,2354644,,,2018
237759,F7000,530,2303221,1892598,,,,2303221,1951668,,,2018
237759,F7000,540,156875,156875,,,,156875,156875,,,2018
238405,F7000,200,86214,56917,,4826,53416,37624,16194,,,2018
238405,F7000,210,49101,33493,,,42485,6616,2608,,,2018
238405,F7000,220,10931,9610,,,10931,,,,,2018
238405,F7000,230,24036,9940,,4826,,28862,13130,,,2018
238405,F7000,300,2401612,,,12082,68218,2345476,,,,2018
238405,F7000,400,176439,,,,,176439,,,,2018
238405,F7000,500,25356944,12160023,,329270,276397,25409817,12388059,,,2018
238405,F7000,510,10631726,1723250,,280141,66781,10845086,1816244,,,2018
238405,F7000,520,2766358,1556509,,,3639,2762719,1577622,,,2018
238405,F7000,530,11163694,8449508,,49129,199618,11013205,8502736,,,2018
238405,F7000,531,79124,79124,,,10224,68900,68900,,,2018
238405,F7000,540,690728,354366,,,,690728,404911,,,2018
238405,F7000,590,104438,76390,,,6359,98079,86546,,,2018
238701,F7000,200,63518,47872,,25773,59448,29843,3295,,,2018
238701,F7000,300,138252,,,431520,98015,471757,,,,2018
238701,F7000,400,455214,,,,,455214,,,,2018
238701,F7000,500,41328388,29653001,,,,41328388,30121637,,,2018
238701,F7000,510,17865648,10234468,,,,17865648,10551018,,,2018
238701,F7000,520,548995,403983,,,,548995,406682,,,2018
238701,F7000,530,22011700,18427286,,,,22011700,18525280,,,2018
238701,F7000,531,113067,8897,,,,113067,108688,,,2018
238701,F7000,540,593086,284940,,,,593086,336223,,,2018
238701,F7000,590,308959,302324,,,,308959,302434,,,2018
240690,F7000,300,34422146,,,,,34422146,,,,2018
240690,F7000,500,48471253,28632576,,,71250,48400003,30248787,,,2018
240690,F7000,510,36340174,22836670,,,,36340174,23992255,,,2018
240690,F7000,520,9007818,4188523,,,,9007818,4592886,,,2018
240690,F7000,530,2951644,1435766,,,,2951644,1563279,,,2018
240690,F7000,531,16946,16946,,,,16946,16946,,,2018
240690,F7000,540,171617,171617,,,71250,100367,100367,,,2018
277948,F7000,200,298513,280502,,,,298513,291238,,,2018
277948,F7000,220,189646,171635,,,,189646,182371,,,2018
277948,F7000,230,108867,108867,,,,108867,108867,,,2018
277948,F7000,300,220223,,,14730686,14738753,212156,,,,2018
277948,F7000,400,1033788,,,,,1033788,,,,2018
277948,F7000,500,247072285,123497476,0,30535996,18038237,259570044,126518555,,,2018
277948,F7000,510,72478722,24141198,,7278831,4603380,75154173,25787824,,,2018
277948,F7000,520,8127910,5389411,,641095,488918,8280087,5693577,,,2018
277948,F7000,530,156963127,88244151,,20489510,11795866,165656771,88661380,,,2018
277948,F7000,540,1888641,951811,,1653606,649482,2892765,870609,,,2018
277948,F7000,550,7571465,4728485,,472954,500591,7543828,5462745,,,2018
277948,F7000,590,42420,42420,,,,42420,42420,,,2018
277948,F7000,700,4225516,193725,,324453,239847,4310122,208913,,,2018
277977,F7000,200,96558,84207,,10743,2059,105242,91260,,,2018
277977,F7000,220,3059,2801,,7434,2059,8434,2842,,,2018
277977,F7000,230,89183,78059,,3308,,92491,84640,,,2018
277977,F7000,300,6826162,,,12860,,6839022,,,,2018
277977,F7000,400,606847,,,,,606847,,,,2018
277977,F7000,500,25116603,16700262,,109992,,25226595,17449942,,,2018
277977,F7000,510,8878506,4939702,,82508,,8961014,5162447,,,2018
277977,F7000,520,487726,416384,,,,487726,421862,,,2018
277977,F7000,530,14544263,10147265,,15709,,14559972,10666145,,,2018
277977,F7000,531,38265,16771,,15709,,53974,33235,,,2018
277977,F7000,540,1197358,1194358,,,,1197358,1194358,,,2018
277977,F7000,590,8750,2553,,11775,,20525,5130,,,2018
278014,F7000,400,8452,,,,,8452,,,,2018
278014,F7000,500,1544312,332749,,,6470,1537842,343087,,,2018
278014,F7000,510,1446679,235116,,,,1446679,251924,,,2018
278014,F7000,530,6470,6470,,,6470,,,,,2018
278014,F7000,540,91163,91163,,,,91163,91163,,,2018
278043,F7000,400,356527,,,,356527,,,,,2018
278043,F7000,500,452213,259599,,,452213,,,,,2018
278043,F7000,510,452213,259599,,,452213,,,,,2018
297566,F7000,200,24056,17838,,1159750,1134000,49806,25611,,,2018
297566,F7000,220,20696,17838,,1134000,1134000,20696,20696,,,2018
297566,F7000,230,3360,,,25750,,29110,4915,,,2018
297566,F7000,500,14920161,7370594,,597684,540849,14976996,7814215,,,2018
297566,F7000,510,6277461,1619108,,,,6277461,1685800,,,2018
297566,F7000,520,618171,299625,,,,618171,309855,,,2018
297566,F7000,530,7024326,4670687,,481648,469506,7036468,5035152,,,2018
297566,F7000,540,527681,395483,,64167,11205,580643,419231,,,2018
297566,F7000,580,,,,24204,,24204,1541,,,2018
297566,F7000,590,472522,385691,,27665,60138,440049,362636,,,2018
297566,F7000,700,,,,613382,,613382,,,,2018
297589,F7000,100,,,,23174,23174,,,,,2018
297589,F7000,200,1737623,1378958,,23174,109063,1651734,1409104,,,2018
297589,F7000,210,12089,5208,,,,12089,6417,,,2018
297589,F7000,220,452604,450798,,,,452604,451631,,,2018
297589,F7000,230,1272930,922952,,23174,109063,1187041,951056,,,2018
297589,F7000,300,605278,,,3497795,3447483,655590,,,,2018
297589,F7000,400,4631607,,,1226842,759107,5099342,,,,2018
297589,F7000,500,252928564,132982996,,3437094,7108031,249257627,140584687,,,2018
297589,F7000,510,84975959,32550304,,579840,5323191,80232608,32721352,,,2018
297589,F7000,520,54941919,24296390,,108556,,55050475,26134143,,,2018
297589,F7000,530,98104223,63553155,,2742448,1630501,99216170,68957776,,,2018
297589,F7000,540,11010750,9498436,,,86086,10924664,9711774,,,2018
297589,F7000,550,3895713,3084711,,6250,68253,3833710,3059642,,,2018
297595,F7000,400,1738108,,,,,1738108,,,,2018
297595,F7000,500,1339872,2000,,,,1339872,5000,,,2018
297595,F7000,510,1216942,,,,,1216942,,,,2018
297595,F7000,520,94397,,,,,94397,,,,2018
297595,F7000,530,19533,,,,,19533,,,,2018
297595,F7000,590,9000,2000,,,,9000,5000,,,2018
297655,F7000,200,25015,20298,,,,25015,21301,,,2018
297655,F7000,220,5015,298,,,,5015,1301,,,2018
297655,F7000,230,20000,20000,,,,20000,20000,,,2018
297655,F7000,300,4722223,,,619762,3475064,1866921,,,,2018
297655,F7000,400,364035,,,,,364035,,,,2018
297655,F7000,500,120713218,81206904,,3154608,17740174,106127652,69128222,,,2018
297655,F7000,510,19682951,14243070,,2139630,214093,21608488,14469439,,,2018
297655,F7000,520,16139873,8333975,,508324,35800,16612397,8688526,,,2018
297655,F7000,530,75052895,52132250,,506654,16564075,58995474,39366056,,,2018
297655,F7000,531,1069690,919378,,51323,81882,1039131,677543,,,2018
297655,F7000,540,9497828,6194262,,,926206,8571622,6281465,,,2018
297655,F7000,550,339671,303347,,,,339671,322736,,,2018
297796,F7000,100,3460,,,14306,,17766,,,,2018
297796,F7000,200,158325,157961,,,,158325,158325,,,2018
297796,F7000,220,2750,2750,,,,2750,2750,,,2018
297796,F7000,230,37442,37442,,,,37442,37442,,,2018
297796,F7000,300,8921427,,,8954292,331485,17544234,,,,2018
297796,F7000,400,5647624,,,,,5647624,,,,2018
297796,F7000,500,35477652,17681369,,331929,4422769,31386812,16474072,,,2018
297796,F7000,510,13516016,4487594,,301777,38922,13778871,4890210,,,2018
297796,F7000,520,4994471,2492872,,,292458,4702013,2655573,,,2018
297796,F7000,530,14690746,9183370,,15670,4088594,10617822,7309958,,,2018
297796,F7000,540,1503827,872143,,,,1503827,930615,,,2018
297796,F7000,590,772592,645390,,14482,2795,784279,687716,,,2018
297833,F7000,400,768856,,,,,768856,,,,2018
297833,F7000,500,29093784,17219335,,,12192010,16901774,8124545,,,2018
297833,F7000,510,20567336,11945116,,,12192010,8375326,2850326,,,2018
297833,F7000,520,5081761,3043385,,,,5081761,3043385,,,2018
297833,F7000,530,3043427,1888028,,,,3043427,1888028,,,2018
297833,F7000,531,107718,86449,,,,107718,86449,,,2018
297833,F7000,540,234503,234503,,,,234503,234503,,,2018
297833,F7000,580,166757,108303,,,,166757,108303,,,2018
297916,F7000,200,,,,3000,,3000,1000,,,2018
297916,F7000,230,,,,3000,,3000,1000,,,2018
297916,F7000,300,10733047,,,182267653,12525023,180475677,,,,2018
297916,F7000,400,4574378,,,51227,,4625605,,,,2018
297916,F7000,500,10847245,5828450,,9050396,,19897641,6929546,,,2018
297916,F7000,510,9343641,5092901,,,,9343641,5351879,,,2018
297916,F7000,520,656555,180796,,,,656555,506665,,,2018
297916,F7000,530,847049,554753,,9050396,,9897445,1071002,,,2018
297916,F7000,531,16554,9657,,,,16554,16554,,,2018
297922,F7000,200,19779,17674,,7000,,26779,18746,,,2018
297922,F7000,220,7764,5659,,2000,,9764,6564,,,2018
297922,F7000,230,12015,12015,,5000,,17015,12182,,,2018
297922,F7000,500,2589433,1390738,,31723,85340,2535816,1337879,,,2018
297922,F7000,510,2074714,878916,,5958,,2080672,910742,,,2018
297922,F7000,530,381924,379027,,9932,54999,336857,327166,,,2018
297922,F7000,540,132795,132795,,15833,30341,118287,99971,,,2018
300104,F7000,400,156255,,,,,156255,,,,2018
300104,F7000,500,19541665,6944228,,,,19541665,7077018,,,2018
300104,F7000,510,6890749,1190836,,,,6890749,1246941,,,2018
300104,F7000,520,1634001,625146,,,,1634001,636504,,,2018
300104,F7000,530,5109099,2931901,,,,5109099,2980964,,,2018
300104,F7000,550,33150,13421,,,,33150,21171,,,2018
300104,F7000,580,5874666,2182924,,,,5874666,2191438,,,2018
300104,F7000,700,15325273,199668,,,,15325273,551337,,,2018
316789,F7000,200,761044,434541,,508483,,1269527,586601,,,2018
316789,F7000,230,577620,379361,,487249,,1064869,520354,,,2018
316789,F7000,300,24292845,,,149614624,157531062,16376407,,,,2018
316789,F7000,400,64203785,,,,,64203785,,,,2018
316789,F7000,500,107978718,9813078,,31186834,68537275,70628277,11706499,,,2018
316789,F7000,510,87077292,4901312,,10988871,67806101,30260062,3336946,,,2018
316789,F7000,530,17003957,3873913,,18276048,697585,34582420,6575594,,,2018
316789,F7000,540,1138249,290474,,,,1138249,468146,,,2018
316789,F7000,590,2759220,747379,,1921915,33589,4647546,1325813,,,2018
316789,F7000,700,332536718,13349265,,194760464,2316331,524980851,27090262,,,2018
316803,F7000,100,,,,12171,12171,,,,,2018
316803,F7000,200,31271,17573,,12171,,43442,23583,,,2018
316803,F7000,210,31271,17573,,,,31271,21554,,,2018
316803,F7000,230,,,,12171,,12171,2029,,,2018
316803,F7000,300,,,,1788967,1627335,161632,0,,,2018
316803,F7000,400,431952,,,,,431952,,,,2018
316803,F7000,500,150012581,103887290,,1627335,1064697,150575219,107602178,,,2018
316803,F7000,510,53158812,25015519,,1079562,,54238374,26085918,,,2018
316803,F7000,520,363362,329286,,,,363362,338690,,,2018
316803,F7000,530,96034265,78224427,,395167,932819,95496613,80933305,,,2018
316803,F7000,531,2576233,2454305,,30605,5349,2601489,2497638,,,2018
316803,F7000,540,422467,313295,,152606,112450,462623,243997,,,2018
316803,F7000,590,33675,4763,,,19428,14247,268,,,2018
316814,F7000,100,,,,398420,,398420,,,,2018
316814,F7000,200,19378,1667,,,,19378,19378,,,2018
316814,F7000,230,19378,1667,,,,19378,19378,,,2018
316814,F7000,300,188049,,,,,188049,,,,2018
316814,F7000,400,338282,,,,,338282,,,,2018
316814,F7000,500,39084293,27850673,,538665,,39622958,28378306,,,2018
316814,F7000,510,21988299,11544582,,,,21988299,11920815,,,2018
316814,F7000,520,834260,831916,,440869,,1275129,856864,,,2018
316814,F7000,530,14851545,14216125,,,,14851545,14298499,,,2018
316814,F7000,540,887968,745513,,90965,,978933,786822,,,2018
316814,F7000,590,522221,512537,,6831,,529052,515306,,,2018
316855,F7000,200,1259,629,,1259,1259,1259,105,,,2018
316855,F7000,300,380417,,,,,380417,,,,2018
316855,F7000,400,8051577,,,,,8051577,,,,2018
316855,F7000,500,36259191,16532164,,31035,1653577,34636649,14968172,,,2018
316855,F7000,510,25202004,7297710,,,,25202004,7320948,,,2018
316855,F7000,520,5620218,3944993,,,,5620218,3974072,,,2018
316855,F7000,530,5031473,4977523,,31035,1622542,3439966,3386016,,,2018
316855,F7000,531,25580,25580,,,16680,8900,8900,,,2018
316855,F7000,540,405496,311938,,,31035,374461,287136,,,2018
316915,F7000,300,40458,,,,40458,,,,,2018
316915,F7000,400,1428452,,,,,1428452,,,,2018
316915,F7000,500,6029314,4535831,,155087,1222139,4962262,3434926,,,2018
316915,F7000,510,3944381,2738340,,64162,,4008543,2833540,,,2018
316915,F7000,520,42539,42539,,,,42539,42539,,,2018
316915,F7000,530,1401371,1113929,,90925,698368,793928,441595,,,2018
316915,F7000,531,12241,3720,,,,12241,7440,,,2018
316915,F7000,540,444685,444685,,,327433,117252,117252,,,2018
316915,F7000,550,196338,196338,,,196338,,,,,2018
316915,F7000,700,4571357,2602574,,584111,23704,5131764,3229013,,,2018
316921,F7000,300,863240,,,979437,511398,1331279,,,,2018
316921,F7000,400,1216683,,,,,1216683,,,,2018
316921,F7000,500,53871052,38465784,,511401,17398192,36984261,32061803,,,2018
316921,F7000,510,19975683,9040278,,,17059621,2916062,2198478,,,2018
316921,F7000,520,618463,147209,,,,618463,173110,,,2018
316921,F7000,530,32555061,29001624,,459867,236196,32778732,29435254,,,2018
316921,F7000,540,683895,276673,,,102375,581520,208430,,,2018
316921,F7000,590,37950,,,51534,,89484,46531,,,2018
316921,F7000,700,2372537,198148,,10146510,,12519047,571764,,,2018
316967,F7000,200,33156,33156,,,,33156,33156,,,2018
316967,F7000,230,33156,33156,,,,33156,33156,,,2018
316967,F7000,500,318618,277759,,,87648,230970,224458,,,2018
316967,F7000,530,318618,277759,,,87648,230970,224458,,,2018
334161,F7000,200,273661,273607,,,273625,36,36,,,2018
334161,F7000,210,5786,5732,,,5750,36,36,,,2018
334161,F7000,230,267875,267875,,,267875,,,,,2018
334161,F7000,400,309216,,,,,309216,,,,2018
334161,F7000,500,5766270,3479873,,,63845,5702425,3548391,,,2018
334161,F7000,510,5166714,3015264,,,,5166714,3122532,,,2018
334161,F7000,530,383792,252154,,,1351,382441,275273,,,2018
334161,F7000,531,106793,89502,,,,106793,97298,,,2018
334161,F7000,540,215764,212455,,,62494,153270,150586,,,2018
399031,F7000,200,65415,40989,,,,65415,46432,,,2018
399031,F7000,220,546,546,,,,546,546,,,2018
399031,F7000,230,64869,40442,,,,64869,45886,,,2018
399031,F7000,300,1084050,,,15891028,1813938,15161140,,,,2018
399031,F7000,400,616886,,,,,616886,,,,2018
399031,F7000,500,64354991,48056352,,2192760,170525,66377226,50489582,,,2018
399031,F7000,510,19503210,14877556,,209882,95530,19617562,15712217,,,2018
399031,F7000,520,3007289,2848027,,,,3007289,2851047,,,2018
399031,F7000,530,37750877,27523002,,596760,68515,38279122,28838787,,,2018
399031,F7000,540,3750223,2465831,,1358920,,5109143,2751471,,,2018
399031,F7000,550,,,,7375,,7375,410,,,2018
399031,F7000,590,343392,341936,,19823,6480,356735,335650,,,2018
399120,F7000,300,4154578,,,,,4154578,,,,2018
399120,F7000,500,2994233,220014,,,,2994233,220014,,,2018
399120,F7000,510,1114301,3663,,,,1114301,3663,,,2018
399120,F7000,530,1778789,209891,,,,1778789,209891,,,2018
399120,F7000,540,10726,100,,,,10726,100,,,2018
399120,F7000,590,90417,6360,,,,90417,6360,,,2018
399137,F7000,300,2087132,,,,,2087132,,,,2018
399137,F7000,500,6909010,4214484,,,,6909010,4214484,,,2018
399137,F7000,510,930592,451304,,,,930592,451304,,,2018
399137,F7000,520,2825584,1581954,,,,2825584,1581954,,,2018
399137,F7000,530,2274449,1323813,,,,2274449,1323813,,,2018
399137,F7000,540,689697,677578,,,,689697,677578,,,2018
399137,F7000,590,188688,179835,,,,188688,179835,,,2018
399159,F7000,100,11147,,,39811,,50958,,,,2018
399159,F7000,200,4741648,4106471,,,,4741648,4447374,,,2018
399159,F7000,210,224360,110187,,,,224360,132738,,,2018
399159,F7000,220,41967,41967,,,,41967,41967,,,2018
399159,F7000,230,4475321,3954317,,,,4475321,4272669,,,2018
399159,F7000,300,16930961,,,42094066,56649581,2375446,,,,2018
